Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,Range
201301248697,8,otc alterations permit,01/24/2013,1162,001,2401,,Turk,Bl,,,remove  and replace damaged garage posts and header due to  vehicular impact in kind.,complete,05/07/2013,01/24/2013,03/25/2013,05/07/2013,03/25/2013,,2.0,2.0,,,03/20/2014,8500.0,38500.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Lone Mountain/USF,94118.0,"(37.77824838651009, -122.44809142130386)",129424391023.0,53
201301248697,8,otc alterations permit,01/24/2013,1162,001,2403,,Turk,Bl,,,remove  and replace damaged garage posts and header due to  vehicular impact in kind.,complete,05/07/2013,01/24/2013,03/25/2013,05/07/2013,03/25/2013,,2.0,2.0,,,03/20/2014,8500.0,38500.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Lone Mountain/USF,94118.0,"(37.77824838651009, -122.44809142130386)",1294244376445.0,22
201301248698,8,otc alterations permit,01/24/2013,5667,008,24,,Bennington,St,,,applying for nov 201206761. legalize existing 2nd floor bathroom and storage room on garage level.,issued,01/25/2013,01/24/2013,01/25/2013,,01/25/2013,,3.0,3.0,,,01/20/2014,5000.0,15000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.73982037731034, -122.41796314715832)",1294245186347.0,23
201301248699,8,otc alterations permit,01/24/2013,0231,023,2,,Embarcadero Center,,,,"install (8) strobes, (48) speakers, (1) interface module, and (2) duct detectors",issued,01/25/2013,01/24/2013,01/25/2013,,01/25/2013,,30.0,30.0,,Y,01/20/2014,14000.0,14000.0,office,,office,,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94111.0,"(37.79479859316024, -122.39847275416453)",129424663348.0,36
201301248700,8,otc alterations permit,01/24/2013,0233,044,4,,Embarcadero Center,,,,"install 1 interface module, 11 speaker strobes, 9 strobes, and 1 speaker",complete,02/14/2013,01/24/2013,01/25/2013,02/14/2013,01/25/2013,,45.0,45.0,,Y,01/20/2014,14500.0,14500.0,office,,office,,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94111.0,"(37.79505670242, -122.39593286006541)",129424763351.0,59
201301248702,8,otc alterations permit,01/24/2013,3727,035,639,,Natoma,St,,,"installation of a manual /automatic fire alarm system including fire alarm control panel, pull station, smoke detector, mini horns, mini modules, and horn strobes. ref app#201104194374 sprinkler monitoring",complete,06/07/2013,01/24/2013,05/10/2013,06/07/2013,05/10/2013,,4.0,4.0,,Y,05/05/2014,4200.0,4200.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,6.0,South of Market,94103.0,"(37.777573451679835, -122.41072611541395)",1294248165002.0,34
201301248701,3,additions alterations or repairs,01/24/2013,1272,022,127,,Carl,St,,,"new multi-story deck. new fire wall at property line. 2nd floor: new door in kitchen. 3rd floor: demo stair case, new skylight. new bathroom in (e) unhabitable area. relocate water heater. new door in kitchen.",complete,09/09/2013,01/24/2013,05/07/2013,09/09/2013,06/24/2013,Y,2.0,2.0,,,05/02/2014,24000.0,24000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,5.0,Haight Ashbury,94117.0,"(37.76542245413574, -122.45066382197412)",129424994956.0,70
201301248701,3,additions alterations or repairs,01/24/2013,1272,022,129,,Carl,St,,,"new multi-story deck. new fire wall at property line. 2nd floor: new door in kitchen. 3rd floor: demo stair case, new skylight. new bathroom in (e) unhabitable area. relocate water heater. new door in kitchen.",complete,09/09/2013,01/24/2013,05/07/2013,09/09/2013,06/24/2013,Y,2.0,2.0,,,05/02/2014,24000.0,24000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,5.0,Haight Ashbury,94117.0,"(37.76542245413574, -122.45066382197412)",1294250489455.0,6
201301248703,8,otc alterations permit,01/24/2013,5676,006,328,,Bocana,St,,,to obtain final inspection for work approved under pa# 200204113749.  all wor is complete.,complete,03/19/2014,01/24/2013,01/24/2013,03/19/2014,01/24/2013,,3.0,3.0,,,01/19/2014,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.73884847469511, -122.41924491127568)",1294251186637.0,88
201301248705,8,otc alterations permit,01/24/2013,5676,006,328,,Bocana,St,,,to obtain final inspection for work approved under pa# 200209207101.  all wor is complete.,complete,03/19/2014,01/24/2013,01/24/2013,03/19/2014,01/24/2013,,3.0,3.0,,,01/19/2014,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.73884847469511, -122.41924491127568)",1294252186637.0,76
M368107,8,otc alterations permit,01/24/2013,0627,015,2149,,Laguna,St,,,street space,issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94115.0,"(37.79111425041078, -122.42958585661385)",1294253236028.0,17
201301248704,8,otc alterations permit,01/24/2013,6529,012,3418,,26th,St,,,administrative permit to document payment of fees associated with increase value as noted on correction notice dated 1/4/13. to partial comply with nov 201383312 for payment of penalty work without permit,complete,03/08/2013,01/24/2013,01/24/2013,03/08/2013,01/24/2013,,5.0,5.0,,,01/09/2016,631654.15,631654.15,apartments,11.0,apartments,11.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.7492064407976, -122.41891846088967)",1294254206365.0,95
201301248706,8,otc alterations permit,01/24/2013,5613,056,11,,Elsie,St,,,bathroom and closet remodel  at ground floor.,complete,03/19/2013,01/24/2013,01/24/2013,03/19/2013,01/24/2013,,2.0,2.0,,,01/19/2014,12000.0,12000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.74484684374166, -122.4161579330511)",1294255184831.0,48
201301248707,8,otc alterations permit,01/24/2013,6914,007,150,,Urbano,Dr,,,"remodel kitchen and 3 bathrooms, re-sheetrock bedrooms and living room.",suspend,04/01/2013,01/24/2013,01/24/2013,,01/24/2013,,2.0,2.0,,,01/19/2014,80000.0,80000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.7256451045777, -122.46523232439145)",1294256213970.0,37
201301248708,8,otc alterations permit,01/24/2013,3705,049,845,,Market,St,,,1st floor:install rack shelving in space #181. ti appoved under app#201207104506. f/a  and sprinkler on seperate permit.,complete,08/27/2013,01/24/2013,01/29/2013,08/27/2013,01/29/2013,,9.0,9.0,,,01/24/2014,20000.0,20000.0,retail sales,0.0,retail sales,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94103.0,"(37.78409697317651, -122.40610191652476)",1294257461327.0,0
201301248709,3,additions alterations or repairs,01/24/2013,3639,004A,2660,,Harrison,St,,,install new fire sprinkler system.  ref pa #2010-12-30-7638.  underground and f/a under seperate permit.,complete,07/15/2013,01/24/2013,03/21/2013,07/15/2013,03/21/2013,,,3.0,,Y,03/05/2016,60000.0,120000.0,,,retail sales,3.0,2.0,,,,3.0,constr type 3,,9.0,Mission,94110.0,"(37.75485791518775, -122.41246561812731)",1294258163490.0,74
201301248710,8,otc alterations permit,01/24/2013,3640,031,2731,,Folsom,St,,,"nov correction pa in-kind egress stair replacement w/ minor modifications for code compliance. front & rear stair. nov correction items #'s 201175573, 201176254. 201271741. 200922446, 200448382 & 20126580.",complete,05/01/2013,01/24/2013,01/29/2013,05/01/2013,01/29/2013,,3.0,3.0,,,01/24/2014,15000.0,22000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75358812709254, -122.41382226332328)",1294259248836.0,4
201301248710,8,otc alterations permit,01/24/2013,3640,031,2735,,Folsom,St,0.0,,"nov correction pa in-kind egress stair replacement w/ minor modifications for code compliance. front & rear stair. nov correction items #'s 201175573, 201176254. 201271741. 200922446, 200448382 & 20126580.",complete,05/01/2013,01/24/2013,01/29/2013,05/01/2013,01/29/2013,,3.0,3.0,,,01/24/2014,15000.0,22000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75358812709254, -122.41382226332328)",1294260398719.0,95
201301248712,8,otc alterations permit,01/24/2013,0067,007A,900,,Lombard,St,,,"comply with nov# 201259323-legalize (e) small property line fence/panel, approx 10x15. no other work to be done.",complete,01/30/2013,01/24/2013,01/24/2013,01/30/2013,01/24/2013,,2.0,2.0,,,01/19/2014,400.0,400.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Russian Hill,94133.0,"(37.80253116982619, -122.41659606555864)",129426157515.0,60
201301248711,3,additions alterations or repairs,01/24/2013,3753,070,255,,Shipley,St,,,t.i. spray booth accessible entry and bathroom. new office and counter. (change of use: f-1 to s-1 with new spray booth).spray boot installation under seperate permit. m.e.p. under separate permit.,complete,11/21/2013,01/24/2013,07/01/2013,11/21/2013,07/01/2013,,2.0,2.0,,,06/26/2014,45000.0,45000.0,"warehouse,no frnitur",0.0,auto repairs,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,,6.0,South of Market,94107.0,"(37.77869189365571, -122.40381285209088)",1294262369668.0,10
201301248713,8,otc alterations permit,01/24/2013,0105,045,331,,Filbert,St,0.0,,to obtain a final inspection on approved app# 200407030251 all work is complete.,issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,4.0,4.0,,,01/19/2014,1.0,1.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,North Beach,94133.0,"(37.80173560006563, -122.40512353954253)",1294263294068.0,29
201301248714,3,additions alterations or repairs,01/24/2013,0292,008,120,,Kearny,St,,,"5th floor: mechanical, electrical, plmbg to remove, relocate and install equipment. ref pa# 2012/11/21/4702 for t.i. work.as built plans are required",complete,11/26/2013,01/24/2013,03/13/2013,11/26/2013,03/13/2013,,38.0,38.0,,,02/26/2016,160000.0,160000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94104.0,"(37.78928801919562, -122.40345781605802)",129426467110.0,97
201301248715,3,additions alterations or repairs,01/24/2013,0175,003,729,,Sansome,St,,,switch ground floor window & door locations on sansome street. replace door / window system on gold street ot match (e) ground floor infills. interior work to create lobby.,filed,01/24/2013,01/24/2013,,,,,3.0,3.0,,,,18500.0,,office,0.0,office,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,Y,3.0,Chinatown,94133.0,"(37.7969490201348, -122.40218343145749)",1294265380763.0,13
M368127,8,otc alterations permit,01/24/2013,0241,025,650,,California,St,0.0,,street space permit  (201209260696),issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,,,,,,,1.0,,,,,,,,,,,,3.0,Chinatown,94108.0,"(37.79302761151508, -122.4052049994071)",1294266296980.0,19
201301248718,8,otc alterations permit,01/24/2013,5613,051,25,,Elsie,St,,,"kitchen remodel-addition of bathroom (1/2), remodel of 1/2 bathroom in basement. new windows & door at kitchen to backyard. kitchen & 1/2 bathroom addition are on the main floor",complete,04/23/2013,01/24/2013,01/30/2013,04/23/2013,01/30/2013,,3.0,3.0,,,01/25/2014,35000.0,42000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.74454141589315, -122.41635535659728)",1294267184826.0,41
201301248719,8,otc alterations permit,01/24/2013,5662,009,224,,Ellsworth,St,,,partial foundation reinforcement at rear of building,issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,2.0,2.0,,,01/19/2014,20000.0,45000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.739651148988905, -122.41479265367568)",1294268186174.0,76
201301248720,8,otc alterations permit,01/24/2013,6635,007,3346,,Mission,St,,,renew pa # 200902242707 for final inspection only.  all work is complete.,complete,01/30/2013,01/24/2013,01/24/2013,01/30/2013,01/24/2013,,3.0,3.0,,,01/19/2014,1.0,1.0,food/beverage hndlng,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,,,,,1294269374323.0,44
201301248721,8,otc alterations permit,01/24/2013,2719A,008,149,,Graystone,Tr,,,"repair foundation by installing 5/8""x 12""at 36"" o.c. anchor bolts with epoxy at corner on east side. repair dryrot & termite damage at same location per plan.",complete,06/18/2013,01/24/2013,02/04/2013,06/18/2013,02/04/2013,,1.0,1.0,,,01/30/2014,1200.0,1400.0,1 family dwelling,2.0,1 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.757688016455006, -122.44633298502961)",1294270142854.0,51
201301248722,8,otc alterations permit,01/24/2013,0568,053,1859,,Vallejo,St,5.0,,"interior remodel. kitchen, bedroom, and 1/2 bath. no exterior change, no structural work",complete,05/06/2014,01/24/2013,05/02/2013,05/06/2014,05/02/2013,,3.0,3.0,,,04/27/2014,20000.0,25000.0,apartments,5.0,apartments,5.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Pacific Heights,94123.0,"(37.79588602207744, -122.42782080991554)",129427174788.0,16
201301248723,8,otc alterations permit,01/24/2013,0846,029,871,,Page,St,,,reroofing,complete,02/13/2013,01/24/2013,01/24/2013,02/13/2013,01/24/2013,,2.0,2.0,,,01/19/2014,8000.0,8678.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Haight Ashbury,94117.0,"(37.772198297440994, -122.43498535620499)",129427282996.0,37
201301248724,8,otc alterations permit,01/24/2013,5515,033,560,,Precita,Av,,,"renovate bathroom. move toilet and shower, no alteration of walls, bathroom is in 2nd floor, no lighting change",complete,05/14/2013,01/24/2013,01/24/2013,05/14/2013,01/24/2013,,2.0,2.0,,,01/19/2014,8000.0,12000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.74726182643356, -122.40967190851904)",1294273183151.0,14
201301248725,8,otc alterations permit,01/24/2013,6240,009,334,,Raymond,Av,,,reroofing,complete,02/11/2013,01/24/2013,01/24/2013,02/11/2013,01/24/2013,,3.0,3.0,,,01/19/2014,9000.0,9000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Visitacion Valley,94134.0,"(37.71422139946964, -122.4098712504073)",1294274198924.0,36
M368147,8,otc alterations permit,01/24/2013,1205,050,419,,Broderick,St,,,street space permit  (201212196540),issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Hayes Valley,94117.0,"(37.77414042918912, -122.43962670196093)",1294275489419.0,4
201301248726,8,otc alterations permit,01/24/2013,0256,002,645,,Stockton,St,,,"unit 402. remodel kitchen, add/remove interior walls (non bearing) renovate bath, add washer/dryer. new lighting plan",issued,01/30/2013,01/24/2013,01/30/2013,,01/30/2013,,11.0,11.0,,,01/25/2014,16000.0,40000.0,apartments,70.0,apartments,70.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Nob Hill,94108.0,"(37.7918109445839, -122.40780170603571)",129427665187.0,47
201301248728,8,otc alterations permit,01/24/2013,1228,020,1911,,Page,St,,,"1 sliding glass dor replacement. 1 total, aluminum door, fiberglass proposed, replaced in kind. locted on rear elevation. does not face the street.",issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,3.0,3.0,,,01/19/2014,4000.0,4000.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Haight Ashbury,94117.0,"(37.77002756570516, -122.4523401601733)",1294277452570.0,0
201301248727,8,otc alterations permit,01/24/2013,0754,012,1022,,Pierce,St,,,all work to be done at 1022 pierce. kitchen & bathroom remodel. add shower to (e) powder room. oen up wall around the stair. addition of (n) shower & (n) powder room. remove interior walls. convert (e) living into (n) bedroom. demo (e) bedroom & (e) bath.,complete,12/06/2013,01/24/2013,02/19/2013,12/06/2013,02/19/2013,,2.0,2.0,,,02/14/2014,70000.0,70000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Western Addition,94115.0,"(37.77959857887408, -122.4350231141881)",1294278367154.0,49
201301248729,8,otc alterations permit,01/24/2013,0872,009,78,,Buchanan,St,,,all work in unit305. remove/add interior walls. convert e dining into new bedroom. add new bath and washer dryer.,expired,11/04/2015,01/24/2013,01/30/2013,,01/30/2013,,7.0,7.0,,,01/25/2014,12000.0,45000.0,apartments,30.0,apartments,30.0,2.0,,3.0,constr type 3,3.0,constr type 3,,8.0,Hayes Valley,94102.0,"(37.77043213130208, -122.42650899861525)",129427983720.0,37
201301248650,8,otc alterations permit,01/24/2013,3611,023,955,,South Van Ness,Av,,,"voluntary structural strengthening of 1st floor & 2nd floor, add plywood to strengthen walls, new beams & joists to strengthen flr per plans.",complete,04/14/2014,01/24/2013,01/25/2013,04/14/2014,01/25/2013,,3.0,3.0,,,01/20/2014,75000.0,100000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75790264570588, -122.41643444183111)",1294280161965.0,75
201301248650,8,otc alterations permit,01/24/2013,3611,023,957,,South Van Ness,Av,,,"voluntary structural strengthening of 1st floor & 2nd floor, add plywood to strengthen walls, new beams & joists to strengthen flr per plans.",complete,04/14/2014,01/24/2013,01/25/2013,04/14/2014,01/25/2013,,3.0,3.0,,,01/20/2014,75000.0,100000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75790264570588, -122.41643444183111)",1294281448079.0,44
201301248730,8,otc alterations permit,01/24/2013,3541,001,106,,Sanchez,St,,,all work in unit#3. revision to pa#2012-1115-4299. new lighting plan for modified space. remodel bath. relocate kitchen. convert (e) kitchen into (n) bedroom. (n) washer/dryer. replace window (2) windows in bedroom and (1) window in the kitchen. replace 3 windows,complete,08/27/2013,01/24/2013,01/31/2013,08/27/2013,01/31/2013,,4.0,4.0,,,01/26/2014,20000.0,20000.0,apartments,18.0,apartments,18.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.767349757757145, -122.43140682973024)",1294282246849.0,69
201301248731,3,additions alterations or repairs,01/24/2013,4158,002,1022,,Rhode Island,St,,,remodel(e) lower unit inclu elect/plumbing upgrades. change of use from single family to 2-family dwelling. to legalize (e) lower unit. remodel (e) lower unit. add (n) steel pipe bollard in garage,complete,10/18/2013,01/24/2013,06/03/2013,10/18/2013,06/03/2013,,2.0,2.0,,,05/29/2014,15000.0,65000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Potrero Hill,94107.0,"(37.75677390077725, -122.40211537312513)",1294283171460.0,16
M368167,8,otc alterations permit,01/24/2013,2975,001,526,,Ulloa,St,,,street space permit & sidewalk permit,issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,,,,,,,1.0,,,,,,,,,,,,7.0,West of Twin Peaks,94127.0,"(37.74121211628984, -122.46057049873193)",1294284148602.0,16
201301248732,8,otc alterations permit,01/24/2013,0276,015,1080,,Bush,St,,,renew bpa# 201006104217 for final inspection.  to obtain final inspection for work approved under pa# 201006104217.  all work is complete.,complete,03/05/2013,01/24/2013,01/24/2013,03/05/2013,01/24/2013,,5.0,5.0,,,01/19/2014,1.0,1.0,apartments,57.0,apartments,57.0,0.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Nob Hill,94109.0,"(37.78965675281155, -122.41499683931673)",129428566704.0,10
201301248733,8,otc alterations permit,01/24/2013,6928,018,40,,Borica,St,,,1) one new bedroom and bath room to be constructed at ground floor. 2)remodel extg bath at 2nd floor.,complete,05/23/2013,01/24/2013,01/28/2013,05/23/2013,01/28/2013,,2.0,2.0,,,01/23/2014,30000.0,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.72243123020722, -122.46808140008372)",1294286214351.0,5
M368187,8,otc alterations permit,01/24/2013,3955,001,1401,,16th,St,,,street space street space,issued,01/24/2013,01/24/2013,01/24/2013,,01/24/2013,,,,,,,,1.0,,,,,,,,,,,,10.0,Mission Bay,94103.0,"(37.765741940569, -122.40098435698512)",1294287168143.0,23
201301248734,3,additions alterations or repairs,01/24/2013,4246,003,2890,,03rd,St,,,"revision to pa# 2012/01/09/1881s. relocate trash enclosure, add stair for mezzanine (private office). add electrical service entrance on south elevation. add "" loop"" sign & internally illuminated facade, new lcd screen. add led indirect lighting strip, redesign the interior of convenience store.",complete,10/30/2013,01/24/2013,03/08/2013,10/30/2013,06/04/2013,,1.0,1.0,,,03/03/2014,20000.0,72500.0,filling/service stn,0.0,filling/service stn,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.75310876246953, -122.38817020083641)",1294288374935.0,47
201301248736,8,otc alterations permit,01/24/2013,6566,023,1435,,Church,St,,,"removal/replacement of kitchen cabinets, new appliances, sink/disposal, granite counter tops. updating electrical per code, add 4 led recess lighting.  news kitchen hood to connet to existing duct. replacing subpanel.",complete,05/16/2013,01/24/2013,01/24/2013,05/16/2013,01/24/2013,,3.0,3.0,,,01/19/2014,16000.0,16000.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.74798147951447, -122.42676206377752)",1294289207731.0,67
201301248735,8,otc alterations permit,01/24/2013,3012,019,345,,West Portal,Av,,,"upgrade front entrance to office at first floor. install 20 ft lenght of interior partitions, install 2 glass panel door. upgrade electrical panel under separate permit",complete,04/12/2013,01/24/2013,01/28/2013,04/12/2013,01/28/2013,,4.0,4.0,,,01/23/2014,10000.0,15000.0,office,0.0,office,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.73718611539361, -122.46952791915031)",1294290150198.0,38
201301258739,8,otc alterations permit,01/25/2013,0229,018,450,,Sansome,St,,,"addition of 3 speaker/strobes, 8 speakers, 4 strobes for the suite 700 remodel on floor 7. devices connect onto fire alarm system",complete,02/14/2013,01/25/2013,01/25/2013,02/14/2013,01/25/2013,,17.0,17.0,,Y,01/20/2014,7500.0,7500.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Chinatown,94111.0,"(37.79464307608999, -122.40114433095304)",129429163345.0,18
201301258740,8,otc alterations permit,01/25/2013,0229,018,450,,Sansome,St,,,addition of 1 speaker/strobe for the hallway remodel on floor 1. connects onto fire alarm system,complete,01/31/2013,01/25/2013,01/25/2013,01/31/2013,01/25/2013,,17.0,17.0,,Y,01/20/2014,500.0,500.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Chinatown,94111.0,"(37.79464307608999, -122.40114433095304)",129429263345.0,94
201301258741,8,otc alterations permit,01/25/2013,3508,001,1355,,Market,St,,,addition of 6 speaker/strobes for the floor 2 office remodel. all devices connect onto the fire alarm system,complete,04/18/2013,01/25/2013,01/28/2013,04/18/2013,01/28/2013,,11.0,11.0,,Y,01/23/2014,3000.0,3000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94103.0,"(37.77674230325018, -122.41635986037679)",1294293347127.0,80
201301258742,8,otc alterations permit,01/25/2013,0171,068,560,,Davis,St,,,"additon of 5 duct detectors, 8 relay mdules 2 speaker strobes for the chiller room. mechanical remodel work on floor 1. all devices connect onto fire alarm system",complete,03/28/2013,01/25/2013,01/28/2013,03/28/2013,01/28/2013,,3.0,3.0,,Y,01/23/2014,8000.0,8000.0,office,50.0,office,50.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94111.0,"(37.797628566219316, -122.397791205169)",1294294387543.0,31
201301258743,8,otc alterations permit,01/25/2013,7107,060,106,,Broad,St,,,re-roofing,issued,01/25/2013,01/25/2013,01/25/2013,,01/25/2013,,1.0,1.0,,,01/20/2014,5800.0,5800.0,church,0.0,church,0.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Oceanview/Merced/Ingleside,94112.0,"(37.71339745465101, -122.45645157733469)",1294295221880.0,42
201301258744,8,otc alterations permit,01/25/2013,5727,006,530,,Banks,St,,,replace counters and cabinets in kitchen. replace in kind. add under cabinet lighting. no structural changes.,expired,02/15/2017,01/25/2013,01/25/2013,,01/25/2013,,2.0,2.0,,,01/20/2014,15000.0,15000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.7365846282924, -122.41308870086925)",1294296188001.0,47
201301258745,8,otc alterations permit,01/25/2013,3716,021,121,,Spear,St,,,6th floor:test stairwell door release.,complete,04/15/2013,01/25/2013,01/25/2013,04/15/2013,01/25/2013,,25.0,25.0,,Y,01/20/2014,2000.0,2000.0,office,320.0,office,320.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Financial District/South Beach,94105.0,"(37.79226475039715, -122.39284801128035)",1294297436366.0,21
201301258746,8,otc alterations permit,01/25/2013,0295,016,345,,Stockton,St,0.0,,"revised from pa#201211305185. fire alarm, added mezz level - addition of 4 notification devices and 2 monitor modules.  ti pa# 201109084161. added mezz. level 2- add 5 duct detector and 2 relay modules.",complete,05/06/2013,01/25/2013,01/25/2013,05/06/2013,01/25/2013,,36.0,36.0,,Y,01/20/2014,3000.0,8000.0,tourist hotel/motel,685.0,tourist hotel/motel,685.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94108.0,"(37.7889220191042, -122.40718205137844)",1294298412943.0,97
201301258747,8,otc alterations permit,01/25/2013,6616,010,18,,Valley,St,,,administrative permit to correct the record. bpa application form 3/8 201101279158 was filled out incorrectly as singl;e family dwelling.,complete,01/30/2013,01/25/2013,01/25/2013,01/30/2013,01/25/2013,,3.0,3.0,,,01/20/2014,1.0,1.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94110.0,"(37.744985100357646, -122.42275058775414)",1294299209258.0,55
